epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4726,4.36395,3.64524,2.83089,0,0,0,0,3.90916,4.38524,2.08393,9.88506e-05,9.88506e-05,0.0803287
2,117.123,3.67759,2.02434,2.06073,0.17031,0.18476,0.09892,0.0322,3.29919,2.06728,1.80442,0.00019885,0.00019885,0.0604287
3,169.359,3.08333,1.7252,1.83376,0.29517,0.26726,0.22449,0.09233,2.54621,2.2031,1.71502,0.000298848,0.000298848,0.0405287
4,221.383,2.66963,1.57315,1.6368,0.69176,0.26532,0.23357,0.10011,2.31919,1.77972,1.52448,0.000398842,0.000398842,0.0206287
5,273.297,2.40411,1.42697,1.51895,0.4922,0.43058,0.40104,0.17454,2.10277,1.42982,1.34405,0.000498831,0.000498831,0.000728716
6,325.138,2.30932,1.31259,1.46564,0.54969,0.46046,0.4582,0.19651,2.06824,1.29819,1.30929,0.000499969,0.000499969,0.000499969
7,377.166,2.2446,1.38951,1.43824,0.59751,0.53145,0.50782,0.21563,2.01191,1.16788,1.28861,0.000499956,0.000499956,0.000499956
8,429.319,2.11097,1.18162,1.39472,0.58927,0.5261,0.50984,0.22463,1.96897,1.15713,1.27417,0.00049994,0.00049994,0.00049994
9,481.66,2.07354,1.14328,1.34304,0.6042,0.51758,0.50154,0.22306,1.96872,1.12531,1.26642,0.000499922,0.000499922,0.000499922
10,533.631,2.0574,1.10805,1.31988,0.68079,0.34752,0.31919,0.1426,1.96504,1.43917,1.26245,0.000499901,0.000499901,0.000499901
11,585.556,1.96147,1.09826,1.30809,0.74269,0.45163,0.44596,0.20871,1.82745,1.21124,1.21128,0.000499878,0.000499878,0.000499878
12,637.235,1.93463,1.09653,1.28435,0.61456,0.55795,0.52582,0.23487,1.87212,1.17847,1.21152,0.000499852,0.000499852,0.000499852
13,689.07,1.91362,1.0451,1.26849,0.66278,0.58584,0.58838,0.28944,1.78204,1.01641,1.18235,0.000499824,0.000499824,0.000499824
14,740.697,1.94634,1.03231,1.27205,0.68033,0.57607,0.56905,0.28492,1.75305,0.95952,1.18803,0.000499794,0.000499794,0.000499794
15,791.938,1.82563,0.97884,1.26199,0.6209,0.58968,0.57089,0.27883,1.791,1.00292,1.19393,0.000499761,0.000499761,0.000499761
16,843.139,1.80202,0.92363,1.22974,0.77534,0.61067,0.63077,0.30944,1.76453,0.91161,1.17938,0.000499725,0.000499725,0.000499725
17,894.778,1.79942,0.93245,1.22275,0.66119,0.56825,0.54831,0.27066,1.68284,1.10248,1.14601,0.000499687,0.000499687,0.000499687
18,946.117,1.74322,0.89762,1.1853,0.76821,0.61553,0.63888,0.31527,1.71505,0.91699,1.14647,0.000499647,0.000499647,0.000499647
19,997.682,1.77617,0.90686,1.21643,0.71383,0.68444,0.69094,0.36109,1.6666,0.90027,1.13437,0.000499604,0.000499604,0.000499604
20,1049.29,1.7182,0.89287,1.19254,0.77312,0.69191,0.69797,0.37074,1.61261,0.89894,1.11324,0.000499559,0.000499559,0.000499559
21,1100.74,1.67094,0.85006,1.18442,0.70991,0.62974,0.61844,0.32552,1.60733,0.88811,1.12212,0.000499512,0.000499512,0.000499512
22,1151.96,1.72244,0.86515,1.20052,0.80243,0.67643,0.70693,0.35292,1.67142,0.90624,1.12317,0.000499462,0.000499462,0.000499462
23,1203.16,1.65199,0.84712,1.15512,0.77152,0.68235,0.68712,0.35145,1.64532,0.83255,1.11152,0.000499409,0.000499409,0.000499409
