epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17724.3,2.02388,0.89511,1.04559,0.78799,0.47334,0.46069,0.22465,1.84899,1.13303,1.08286,0.0099307,0.0099307,0.0099307
44,18254.6,1.99467,0.92402,1.06622,0.81513,0.46331,0.55062,0.26467,1.87622,1.01248,1.08126,0.00992905,0.00992905,0.00992905
45,18706.8,2.00922,0.90269,1.05632,0.49017,0.56907,0.52416,0.24974,1.84678,0.96809,1.08387,0.0099274,0.0099274,0.0099274
46,19144.6,1.96264,0.88513,1.03301,0.83815,0.46632,0.50414,0.2555,1.83015,0.95843,1.08923,0.00992575,0.00992575,0.00992575
47,19579.2,1.85184,0.84212,1.03436,0.49245,0.59675,0.56653,0.30255,1.76892,0.99319,1.07351,0.0099241,0.0099241,0.0099241
48,19976.9,1.92246,0.84763,1.03119,0.61919,0.57412,0.60788,0.30574,1.79739,0.90099,1.06474,0.00992245,0.00992245,0.00992245
49,20350.3,1.95586,0.85966,1.01783,0.87767,0.50189,0.59462,0.30346,1.79359,0.86405,1.05673,0.0099208,0.0099208,0.0099208
50,20862.1,1.9727,0.85911,1.04129,0.61958,0.61883,0.65098,0.31946,1.8182,0.85995,1.05668,0.00991915,0.00991915,0.00991915
51,21255.1,1.89517,0.82162,1.03502,0.81644,0.4523,0.52983,0.27242,1.78257,1.057,1.04953,0.0099175,0.0099175,0.0099175
52,21692.1,1.90719,0.8331,1.05186,0.86012,0.50195,0.57882,0.28007,1.79609,0.89357,1.06225,0.00991585,0.00991585,0.00991585
53,22045.7,1.88787,0.83686,1.01946,0.58052,0.68257,0.65554,0.31764,1.81787,1.02687,1.05864,0.0099142,0.0099142,0.0099142
54,22490.7,1.83783,0.8256,1.03442,0.888,0.5286,0.59494,0.31345,1.69338,0.83798,1.03749,0.00991255,0.00991255,0.00991255
55,22957.3,1.83047,0.7828,1.00563,0.89369,0.50812,0.64019,0.33364,1.74689,0.85461,1.04668,0.0099109,0.0099109,0.0099109
56,23344.9,1.84045,0.78063,1.00398,0.70748,0.79345,0.79376,0.40441,1.65078,0.77299,1.03253,0.00990925,0.00990925,0.00990925
57,23775.7,1.79049,0.7598,1.00023,0.61774,0.62961,0.67177,0.33042,1.72034,0.7784,1.04098,0.0099076,0.0099076,0.0099076
58,24074.4,1.834,0.7754,0.98841,0.51499,0.82336,0.66145,0.33838,1.67859,0.77791,1.04209,0.00990595,0.00990595,0.00990595
59,24502.5,1.84039,0.80097,1.03102,0.58725,0.78397,0.64351,0.32729,1.66967,0.83284,1.03176,0.0099043,0.0099043,0.0099043
60,24918.2,1.80083,0.7675,1.00391,0.64101,0.76055,0.74457,0.36887,1.65794,0.77017,1.01816,0.00990265,0.00990265,0.00990265
61,25348.7,1.83889,0.76704,1.00469,0.67851,0.76588,0.77065,0.36996,1.6622,0.73529,1.02064,0.009901,0.009901,0.009901
62,25818.2,1.78425,0.77889,1.00302,0.71136,0.6352,0.73146,0.3615,1.72255,0.76572,1.03663,0.00989935,0.00989935,0.00989935
63,26190.9,1.80062,0.74122,1.00868,0.53313,0.78539,0.65673,0.33148,1.66137,0.79905,1.01651,0.0098977,0.0098977,0.0098977
64,26715.5,1.79831,0.73985,1.00648,0.87622,0.41543,0.52235,0.24778,1.84409,1.06604,1.06654,0.00989605,0.00989605,0.00989605
65,27048.4,1.7665,0.78002,1.00282,0.59732,0.64992,0.66247,0.34549,1.64478,0.73778,1.02127,0.0098944,0.0098944,0.0098944
66,27419.6,1.77158,0.73664,0.99072,0.60063,0.7248,0.67597,0.34307,1.6322,0.85528,1.01314,0.00989275,0.00989275,0.00989275
67,27873.5,1.80087,0.77529,1.00207,0.6497,0.70661,0.70585,0.36455,1.64006,0.80289,1.01697,0.0098911,0.0098911,0.0098911
68,28234.6,1.77516,0.74245,1.00523,0.5336,0.69986,0.65538,0.33624,1.69458,0.9758,1.02736,0.00988945,0.00988945,0.00988945
69,28726.8,1.75972,0.72914,0.99764,0.68973,0.73786,0.77849,0.39883,1.55009,0.76204,0.99937,0.0098878,0.0098878,0.0098878
70,29183.4,1.77621,0.74003,0.97774,0.61541,0.7179,0.7338,0.37333,1.60922,0.72778,1.0131,0.00988615,0.00988615,0.00988615
71,29581.3,1.75044,0.73656,0.99608,0.62792,0.72711,0.73672,0.37757,1.60686,0.70633,1.00684,0.0098845,0.0098845,0.0098845
72,30073.6,1.71882,0.72038,0.9813,0.62401,0.6974,0.69511,0.34363,1.61463,0.75502,0.99771,0.00988285,0.00988285,0.00988285
73,30495.1,1.71829,0.70396,0.98089,0.6983,0.59466,0.65945,0.3377,1.62112,0.72762,1.01366,0.0098812,0.0098812,0.0098812
74,30967.6,1.71405,0.74194,0.98277,0.87218,0.63062,0.74317,0.37533,1.59907,0.7202,1.00368,0.00987955,0.00987955,0.00987955
75,31264.4,1.71641,0.7187,0.99118,0.71733,0.59593,0.70164,0.36404,1.59636,0.7109,1.00513,0.0098779,0.0098779,0.0098779
76,31772.6,1.754,0.71332,0.98752,0.68994,0.71674,0.76462,0.39748,1.61819,0.71483,1.01278,0.00987625,0.00987625,0.00987625
77,32115.2,1.74236,0.6933,0.97008,0.78605,0.64911,0.73774,0.37691,1.60412,0.72805,1.00393,0.0098746,0.0098746,0.0098746
78,32592.5,1.64386,0.70435,0.99196,0.77654,0.67317,0.72205,0.37788,1.60141,0.71659,1.01516,0.00987295,0.00987295,0.00987295
