epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.14,6.6004,19.6388,4.29933,0,0,0,0,6.93768,5.26042,4.15329,0.0025,0.0025,0.0025
2,1089.88,6.75882,24.4231,4.52221,0,0,0,0,6.93787,5.25301,4.15012,0.00509916,0.00509916,0.00509916
3,1711.32,6.91575,21.5484,4.65945,0,0,0,0,6.93664,5.24207,4.15247,0.00769746,0.00769746,0.00769746
4,2259.87,6.619,14.3085,4.39745,0,0,0,0,6.9376,5.24983,4.16057,0.00999505,0.00999505,0.00999505
5,2721.74,6.90879,13.0406,4.49844,0,0,0,0,6.93902,5.26508,4.18203,0.0099934,0.0099934,0.0099934
6,3161.29,6.41188,7.65317,4.18257,0.01926,0.00458,0.00122,0.00036,5.50538,inf,5.69987,0.00999175,0.00999175,0.00999175
7,3645.99,4.60144,3.49232,2.74617,0.00675,0.03365,0.00406,0.00132,nan,nan,nan,0.0099901,0.0099901,0.0099901
8,4221.35,4.2797,2.99448,1.94305,0.01489,0.03895,0.00663,0.00189,3.94554,inf,14.7066,0.00998845,0.00998845,0.00998845
9,4679.82,4.15433,2.40804,1.73986,0.01641,0.07818,0.00905,0.00225,4.17588,inf,6.75296,0.0099868,0.0099868,0.0099868
10,5144.98,4.04471,2.26833,1.66234,0.05785,0.15975,0.02251,0.00657,3.90508,inf,8.67155,0.00998515,0.00998515,0.00998515
11,5650.07,4.01959,2.14861,1.63932,0.01917,0.14247,0.01172,0.00274,4.07706,4.41444,2.75021,0.0099835,0.0099835,0.0099835
12,6295.25,3.7902,2.05653,1.53036,0.42562,0.19249,0.07181,0.01775,3.70632,3.36011,1.92469,0.00998185,0.00998185,0.00998185
13,6809.05,3.61561,1.86714,1.47598,0.47392,0.22808,0.11835,0.03287,3.46909,1.96946,1.55921,0.0099802,0.0099802,0.0099802
14,7278.19,3.36818,1.80046,1.41511,0.45451,0.20263,0.10138,0.02417,3.64069,2.98727,1.91107,0.00997855,0.00997855,0.00997855
15,7676.55,3.29362,1.75476,1.37008,0.38381,0.07806,0.02508,0.00481,4.28379,3.28952,2.12533,0.0099769,0.0099769,0.0099769
