epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9927,4.36395,3.64524,2.83089,0,0,0,0,3.86337,4.38905,2.06234,9.88506e-05,9.88506e-05,0.0803287
2,118.396,3.67759,2.02434,2.06073,0.17031,0.18476,0.09896,0.03221,3.20762,2.05492,1.76921,0.00019885,0.00019885,0.0604287
3,173.06,3.08333,1.7252,1.83376,0.29517,0.26726,0.2245,0.09234,2.45839,2.28951,1.72286,0.000298848,0.000298848,0.0405287
4,228.133,2.66963,1.57315,1.6368,0.69176,0.26532,0.23357,0.1001,2.2614,1.78986,1.51812,0.000398842,0.000398842,0.0206287
5,280.861,2.40411,1.42697,1.51895,0.48983,0.43282,0.40115,0.17455,2.05454,1.41811,1.3331,0.000498831,0.000498831,0.000728716
6,333.338,2.30932,1.31259,1.46564,0.54969,0.46046,0.45809,0.19647,2.02899,1.28537,1.30169,0.000499969,0.000499969,0.000499969
7,385.632,2.2446,1.38951,1.43824,0.59745,0.53139,0.50783,0.21562,1.98037,1.17447,1.28478,0.000499956,0.000499956,0.000499956
8,437.934,2.11097,1.18162,1.39472,0.58924,0.52608,0.51036,0.22488,1.94356,1.15097,1.27122,0.00049994,0.00049994,0.00049994
9,490.217,2.07354,1.14328,1.34304,0.6042,0.51758,0.50155,0.22314,1.95468,1.11065,1.26373,0.000499922,0.000499922,0.000499922
10,541.961,2.0574,1.10805,1.31988,0.68079,0.34752,0.31915,0.14256,1.95942,1.41258,1.26446,0.000499901,0.000499901,0.000499901
11,593.902,1.96147,1.09826,1.30809,0.74271,0.45165,0.44594,0.20873,1.80926,1.18981,1.21072,0.000499878,0.000499878,0.000499878
12,645.56,1.93463,1.09653,1.28435,0.61456,0.55795,0.52579,0.23482,1.86872,1.16978,1.21489,0.000499852,0.000499852,0.000499852
13,697.774,1.91362,1.0451,1.26849,0.66278,0.58584,0.58829,0.28938,1.76362,1.02135,1.18147,0.000499824,0.000499824,0.000499824
14,749.991,1.94634,1.03231,1.27205,0.68033,0.57607,0.56892,0.2849,1.74742,0.96564,1.18938,0.000499794,0.000499794,0.000499794
15,801.812,1.82563,0.97884,1.26199,0.6209,0.58968,0.57089,0.27888,1.7758,1.00246,1.19416,0.000499761,0.000499761,0.000499761
16,853.813,1.80202,0.92363,1.22974,0.77519,0.6105,0.63072,0.30943,1.74924,0.90672,1.17832,0.000499725,0.000499725,0.000499725
17,905.79,1.79942,0.93245,1.22275,0.66119,0.56825,0.54842,0.27054,1.67764,1.08974,1.14793,0.000499687,0.000499687,0.000499687
18,957.585,1.74322,0.89762,1.1853,0.76812,0.61542,0.63894,0.31536,1.70532,0.91433,1.14744,0.000499647,0.000499647,0.000499647
