epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0949,3.51885,8.30402,3.37633,0,0,0,0,3.57666,6.53746,2.30622,9.77273e-05,9.77273e-05,0.0805523
2,66.5516,2.68491,4.98164,2.28073,0.00393,0.02051,0.00049,8e-05,3.19064,7.03008,1.95912,0.000197727,0.000197727,0.0606523
3,92.4839,2.69348,4.48924,2.06062,0.01801,0.07744,0.00964,0.0018,2.86212,4.48526,1.76477,0.000297724,0.000297724,0.0407523
4,117.993,2.70593,4.62027,2.04128,0.02244,0.08038,0.01139,0.00268,2.81078,8.12878,2.54902,0.000397719,0.000397719,0.0208523
5,143.695,2.60017,4.40543,1.84718,0.01572,0.07362,0.00968,0.00182,2.67697,6.8432,2.25156,0.000497708,0.000497708,0.000952253
6,168.793,2.56293,4.49742,1.77277,0.43924,0.08161,0.05796,0.01561,2.37817,14.2264,1.6523,0.000499969,0.000499969,0.000499969
7,194.665,2.4164,4.10101,1.62873,0.43837,0.09522,0.05795,0.01373,2.44434,4.05506,1.57623,0.000499956,0.000499956,0.000499956
8,219.963,2.3222,3.97651,1.61059,0.45372,0.10761,0.06697,0.01526,2.37356,3.82057,1.50735,0.00049994,0.00049994,0.00049994
9,266.931,2.37557,4.17473,1.51351,0.50732,0.17603,0.10813,0.02896,2.17881,3.83742,1.45472,0.000499922,0.000499922,0.000499922
10,293.396,2.31461,3.90678,1.50668,0.47727,0.1716,0.08425,0.01934,2.25161,3.61478,1.46138,0.000499901,0.000499901,0.000499901
11,318.51,2.22615,3.63961,1.49871,0.45601,0.15722,0.05366,0.01155,2.37249,3.64517,1.53393,0.000499878,0.000499878,0.000499878
12,343.614,2.27295,4.17622,1.51536,0.40744,0.12487,0.03386,0.00712,2.38341,4.16651,1.55548,0.000499852,0.000499852,0.000499852
13,368.742,2.16411,4.75355,1.48163,0.48739,0.22347,0.10014,0.02638,2.11393,3.50751,1.3856,0.000499824,0.000499824,0.000499824
14,393.988,2.16636,3.76167,1.48796,0.52641,0.15338,0.08569,0.01922,2.19323,3.59436,1.44108,0.000499794,0.000499794,0.000499794
15,419.346,2.17554,3.67745,1.47498,0.15072,0.20366,0.08557,0.01837,2.18596,3.42563,1.42736,0.000499761,0.000499761,0.000499761
16,444.584,2.1493,3.67192,1.44772,0.27781,0.28056,0.21644,0.06246,1.94312,3.13201,1.26187,0.000499725,0.000499725,0.000499725
17,470.033,2.10536,3.53438,1.47666,0.16669,0.16527,0.0707,0.01652,2.33136,3.69643,1.50357,0.000499687,0.000499687,0.000499687
18,496.42,2.10462,3.9734,1.40614,0.48305,0.16683,0.0773,0.01675,2.32575,3.62921,1.50359,0.000499647,0.000499647,0.000499647
19,521.604,2.09278,3.31376,1.42319,0.56135,0.26451,0.16018,0.03726,2.08592,3.12765,1.38343,0.000499604,0.000499604,0.000499604
20,547.036,2.05099,3.31818,1.39595,0.0938,0.13853,0.04118,0.00801,2.4382,3.42719,1.61493,0.000499559,0.000499559,0.000499559
21,572.332,2.07704,3.18592,1.38742,0.20094,0.25183,0.09385,0.02065,2.21371,3.3044,1.47143,0.000499512,0.000499512,0.000499512
22,597.483,2.08804,3.3678,1.38388,0.17965,0.2308,0.13921,0.03196,2.15582,2.95291,1.42165,0.000499462,0.000499462,0.000499462
23,622.566,2.01486,3.15393,1.39379,0.59337,0.29062,0.20135,0.04663,2.04308,2.85928,1.33693,0.000499409,0.000499409,0.000499409
24,647.498,1.99016,3.04266,1.39415,0.2042,0.23238,0.13454,0.03343,2.0315,3.09198,1.36011,0.000499354,0.000499354,0.000499354
25,673.319,2.03396,2.99347,1.38337,0.57099,0.22943,0.13543,0.03032,2.20021,3.23483,1.47524,0.000499297,0.000499297,0.000499297
26,699.756,1.98028,2.98896,1.33904,0.25263,0.2773,0.14296,0.02993,2.17324,2.82805,1.4076,0.000499237,0.000499237,0.000499237
27,738.283,1.9333,2.96156,1.35929,0.03273,0.05813,0.00806,0.0013,2.83829,3.8906,1.9256,0.000499175,0.000499175,0.000499175
28,763.144,1.93188,3.1231,1.35828,0.53049,0.22866,0.14337,0.03022,2.20979,2.85597,1.4786,0.00049911,0.00049911,0.00049911
29,791.048,1.99504,2.96682,1.35341,0.6357,0.32709,0.27656,0.08193,1.85498,2.52891,1.24845,0.000499043,0.000499043,0.000499043
30,817.329,1.90887,2.91719,1.40912,0.10215,0.18564,0.05748,0.00988,2.43987,3.22958,1.56867,0.000498974,0.000498974,0.000498974
31,842.297,1.92179,2.90481,1.36971,0.62981,0.3224,0.25109,0.06757,1.93207,2.69552,1.29346,0.000498902,0.000498902,0.000498902
32,867.357,1.9239,2.84692,1.36155,0.57406,0.23495,0.15308,0.03187,2.22508,2.79566,1.42771,0.000498827,0.000498827,0.000498827
33,899.194,1.91266,2.83281,1.33282,0.47342,0.12316,0.06792,0.01182,2.47641,3.3331,1.62068,0.00049875,0.00049875,0.00049875
34,924.853,1.89603,2.86459,1.34947,0.70477,0.38692,0.34029,0.10655,1.77877,2.62083,1.19626,0.000498671,0.000498671,0.000498671
35,950.526,1.9161,3.22667,1.34187,0.49196,0.15252,0.07749,0.01287,2.39755,3.14805,1.57582,0.000498589,0.000498589,0.000498589
36,975.413,1.79396,3.1004,1.31158,0.65137,0.32071,0.25027,0.05471,2.02516,2.62103,1.31909,0.000498505,0.000498505,0.000498505
37,1000.47,1.87696,2.71291,1.33224,0.56279,0.23374,0.15275,0.02967,2.24099,2.80925,1.45451,0.000498419,0.000498419,0.000498419
38,1025.43,1.81259,2.75077,1.3205,0.34003,0.33888,0.21822,0.04398,2.22696,2.73915,1.43159,0.00049833,0.00049833,0.00049833
39,1060.02,1.75377,2.72561,1.35131,0.38861,0.32966,0.27706,0.0639,2.12837,2.7087,1.36454,0.000498238,0.000498238,0.000498238
40,1100.98,1.85325,2.81779,1.35863,0.27912,0.26356,0.20279,0.04236,2.16719,2.72753,1.40299,0.000498145,0.000498145,0.000498145
41,1126.03,1.76936,2.55584,1.31014,0.66007,0.28952,0.2472,0.04851,2.18673,2.69111,1.40046,0.000498048,0.000498048,0.000498048
42,1152.16,1.77298,2.59279,1.34419,0.35581,0.30612,0.25872,0.05278,2.16294,2.49066,1.40689,0.00049795,0.00049795,0.00049795
43,1177.08,1.78082,2.57228,1.33838,0.61472,0.27032,0.20803,0.04028,2.26033,2.58927,1.46763,0.000497849,0.000497849,0.000497849
44,1202.07,1.73866,2.56107,1.28102,0.65195,0.25646,0.19874,0.03872,2.30498,2.58075,1.48027,0.000497745,0.000497745,0.000497745
45,1227.06,1.79052,2.57097,1.31683,0.49908,0.55461,0.4385,0.13923,1.79603,2.39937,1.22053,0.000497639,0.000497639,0.000497639
46,1252.45,1.77993,2.64368,1.34044,0.45452,0.34413,0.27626,0.05764,2.09831,2.51325,1.36006,0.000497531,0.000497531,0.000497531
47,1279.64,1.77825,2.61908,1.32898,0.75193,0.37197,0.35106,0.08423,1.96383,2.46831,1.27098,0.00049742,0.00049742,0.00049742
48,1304.87,1.75524,2.52475,1.30823,0.37847,0.27117,0.17641,0.03064,2.34498,2.66538,1.55493,0.000497307,0.000497307,0.000497307
49,1329.83,1.73323,2.5221,1.26145,0.56672,0.43876,0.42771,0.12041,1.7742,2.31395,1.18133,0.000497191,0.000497191,0.000497191
50,1354.95,1.78972,2.60735,1.31311,0.33578,0.35489,0.18625,0.03715,2.33954,2.86026,1.53628,0.000497073,0.000497073,0.000497073
51,1380.06,1.72404,2.65337,1.3086,0.78385,0.41181,0.42484,0.12101,1.82134,2.32836,1.23192,0.000496953,0.000496953,0.000496953
52,1405.37,1.71577,2.4772,1.28646,0.34705,0.33557,0.21834,0.04265,2.23546,2.59058,1.44535,0.00049683,0.00049683,0.00049683
53,1441.21,1.7159,2.38978,1.25495,0.77264,0.41707,0.44491,0.12318,1.85609,2.39294,1.23038,0.000496705,0.000496705,0.000496705
54,1472.37,1.69436,2.3689,1.27143,0.47216,0.42097,0.33304,0.06986,2.1324,2.47136,1.37005,0.000496577,0.000496577,0.000496577
55,1502.87,1.72625,2.54749,1.32119,0.38421,0.30874,0.22218,0.04158,2.3051,2.66543,1.48441,0.000496447,0.000496447,0.000496447
