epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1130.21,1.54181,0.71422,0.97429,0.88432,0.85642,0.90232,0.50773,1.53335,0.65344,0.92819,0.00993235,0.00993235,0.00993235
43,1156.63,1.54354,0.6499,0.96572,0.88909,0.84051,0.87005,0.49644,1.52501,0.65548,0.92508,0.0099307,0.0099307,0.0099307
44,1183.28,1.56238,0.67016,0.97023,0.8712,0.84574,0.87442,0.49379,1.53775,0.64974,0.92202,0.00992905,0.00992905,0.00992905
45,1210.28,1.52606,0.64676,0.97464,0.86985,0.81844,0.85968,0.48251,1.52448,0.68181,0.92576,0.0099274,0.0099274,0.0099274
46,1237.35,1.52012,0.64834,0.96695,0.90482,0.88857,0.92124,0.53311,1.47176,0.60801,0.91588,0.00992575,0.00992575,0.00992575
47,1263.72,1.5123,0.62477,0.96252,0.89744,0.87681,0.91208,0.52192,1.53339,0.62156,0.922,0.0099241,0.0099241,0.0099241
48,1290.27,1.54963,0.63934,0.9532,0.89522,0.85967,0.90546,0.52704,1.4932,0.63499,0.91911,0.00992245,0.00992245,0.00992245
49,1317.27,1.49707,0.63019,0.96504,0.91895,0.87575,0.93018,0.52892,1.50746,0.63117,0.92097,0.0099208,0.0099208,0.0099208
50,1343.79,1.51737,0.62882,0.9576,0.90327,0.86099,0.90145,0.51043,1.47787,0.63195,0.91784,0.00991915,0.00991915,0.00991915
51,1370.39,1.49005,0.6261,0.96291,0.88051,0.82905,0.86332,0.48721,1.50391,0.66293,0.92307,0.0099175,0.0099175,0.0099175
52,1396.9,1.50159,0.6268,0.95389,0.90923,0.85777,0.89864,0.50818,1.50617,0.63545,0.917,0.00991585,0.00991585,0.00991585
53,1423.61,1.47062,0.6185,0.9639,0.87197,0.82193,0.8611,0.4871,1.52898,0.65952,0.9263,0.0099142,0.0099142,0.0099142
54,1450.25,1.51062,0.62642,0.94464,0.88124,0.84898,0.89504,0.52558,1.45109,0.6315,0.90942,0.00991255,0.00991255,0.00991255
55,1476.85,1.52741,0.63692,0.96259,0.90642,0.86791,0.91364,0.51337,1.53645,0.63315,0.92047,0.0099109,0.0099109,0.0099109
