epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2206.09,1.05196,1.40189,1.12654,0.87844,0.76456,0.79743,0.41761,1.05158,1.42851,1.08066,0.00049795,0.00049795,0.00049795
43,2257.83,1.03271,1.361,1.09906,0.88095,0.83026,0.85822,0.46838,1.0513,1.42714,1.07146,0.000497849,0.000497849,0.000497849
44,2309.4,1.02285,1.3664,1.09429,0.89038,0.76576,0.80098,0.43172,1.06021,1.47407,1.08343,0.000497745,0.000497745,0.000497745
45,2360.96,1.0157,1.34638,1.11142,0.91324,0.86157,0.92495,0.52158,1.04041,1.46767,1.06979,0.000497639,0.000497639,0.000497639
46,2413.07,1.00273,1.32326,1.09109,0.91532,0.87319,0.90915,0.51235,1.02066,1.40795,1.05944,0.000497531,0.000497531,0.000497531
47,2464.67,1.02624,1.33255,1.09156,0.91528,0.82152,0.86426,0.48313,1.02369,1.39242,1.06204,0.00049742,0.00049742,0.00049742
48,2516.34,1.00681,1.31124,1.09419,0.88552,0.7104,0.74351,0.41063,1.02159,1.41416,1.06266,0.000497307,0.000497307,0.000497307
49,2568.11,1.00255,1.33855,1.08245,0.8873,0.89172,0.90276,0.49567,1.0445,1.36623,1.06653,0.000497191,0.000497191,0.000497191
50,2619.83,0.99709,1.30401,1.07941,0.8836,0.8436,0.859,0.47494,1.02268,1.39584,1.06103,0.000497073,0.000497073,0.000497073
51,2671.24,0.98031,1.28907,1.08591,0.91098,0.8729,0.9068,0.49657,1.06036,1.36302,1.07734,0.000496953,0.000496953,0.000496953
52,2723.15,1.00737,1.29612,1.08603,0.91779,0.835,0.88722,0.50263,1.01536,1.39632,1.06065,0.00049683,0.00049683,0.00049683
53,2774.99,1.01435,1.28278,1.07213,0.90699,0.8843,0.91525,0.50727,1.03982,1.36041,1.06816,0.000496705,0.000496705,0.000496705
54,2826.49,1.00468,1.29565,1.0838,0.90882,0.79316,0.83401,0.46419,1.02697,1.41034,1.05689,0.000496577,0.000496577,0.000496577
55,2878.26,1.01833,1.29699,1.08408,0.88576,0.67233,0.70314,0.38607,1.00668,1.46798,1.0519,0.000496447,0.000496447,0.000496447
56,2929.9,0.98412,1.24905,1.06457,0.90224,0.76428,0.80292,0.43901,1.03063,1.37369,1.06429,0.000496315,0.000496315,0.000496315
57,2981.49,0.98721,1.24625,1.08123,0.90752,0.73263,0.75999,0.40619,1.05107,1.37833,1.06832,0.00049618,0.00049618,0.00049618
58,3033.32,1.00632,1.27357,1.06653,0.8753,0.80365,0.82341,0.45728,1.01465,1.39407,1.05599,0.000496042,0.000496042,0.000496042
59,3086.01,1.00582,1.24157,1.08125,0.89452,0.87726,0.88924,0.49784,1.01636,1.33992,1.05585,0.000495903,0.000495903,0.000495903
60,3137.96,0.99711,1.26511,1.06242,0.90854,0.85497,0.8827,0.48929,1.01741,1.36183,1.05418,0.000495761,0.000495761,0.000495761
61,3189.54,0.98652,1.25035,1.07941,0.89156,0.8163,0.83668,0.44616,1.08461,1.43052,1.0838,0.000495616,0.000495616,0.000495616
62,3241.5,0.98073,1.25204,1.06277,0.91451,0.77734,0.82241,0.452,1.04456,1.45221,1.06643,0.000495469,0.000495469,0.000495469
63,3294.35,0.9808,1.23993,1.0858,0.88342,0.89502,0.91999,0.51568,1.00934,1.32037,1.04876,0.00049532,0.00049532,0.00049532
64,3347,0.98989,1.26071,1.07419,0.88858,0.83076,0.84034,0.47205,1.02623,1.3819,1.05748,0.000495168,0.000495168,0.000495168
65,3399.02,0.98204,1.27305,1.06703,0.90988,0.80108,0.82367,0.44491,1.052,1.40396,1.07185,0.000495014,0.000495014,0.000495014
66,3451.08,0.97937,1.24439,1.07477,0.90239,0.81856,0.83646,0.45301,1.04404,1.3688,1.06093,0.000494858,0.000494858,0.000494858
67,3503.05,0.96848,1.22798,1.06622,0.93131,0.90893,0.94725,0.53264,1.01446,1.31167,1.05428,0.000494699,0.000494699,0.000494699
68,3555.3,0.97285,1.2169,1.06802,0.86477,0.73537,0.76751,0.42377,1.02432,1.37631,1.05763,0.000494538,0.000494538,0.000494538
69,3607.16,0.95846,1.21121,1.05609,0.90686,0.83401,0.85881,0.47134,1.03911,1.3121,1.0609,0.000494374,0.000494374,0.000494374
70,3659.11,0.97405,1.21764,1.06289,0.87697,0.90303,0.92898,0.51539,1.03706,1.298,1.06146,0.000494208,0.000494208,0.000494208
71,3710.98,0.96759,1.20203,1.05513,0.80603,0.69227,0.71993,0.38222,1.05263,1.45124,1.06735,0.000494039,0.000494039,0.000494039
72,3762.78,0.96887,1.21978,1.06154,0.91074,0.9299,0.94718,0.5382,1.01342,1.2924,1.05012,0.000493869,0.000493869,0.000493869
73,3815.12,0.98969,1.23971,1.05578,0.90833,0.89289,0.92365,0.50207,1.01424,1.30945,1.04879,0.000493695,0.000493695,0.000493695
74,3867.03,0.98422,1.21036,1.06978,0.87574,0.81186,0.8307,0.44329,1.07473,1.32735,1.07487,0.00049352,0.00049352,0.00049352
75,3919.06,0.95591,1.20218,1.07004,0.8817,0.91485,0.94105,0.52982,1.0246,1.39044,1.05642,0.000493342,0.000493342,0.000493342
76,3970.86,0.97174,1.22415,1.06177,0.91502,0.92229,0.94464,0.55067,0.99744,1.28064,1.04791,0.000493162,0.000493162,0.000493162
77,4023.01,0.95974,1.21534,1.05241,0.88969,0.7575,0.79032,0.44777,1.01877,1.37711,1.05523,0.000492979,0.000492979,0.000492979
78,4075.19,0.94784,1.16857,1.0647,0.91482,0.79603,0.84491,0.48118,1.0249,1.33187,1.05509,0.000492794,0.000492794,0.000492794
79,4127.83,0.94925,1.1818,1.06254,0.86729,0.91274,0.91243,0.50362,1.01434,1.32132,1.05067,0.000492606,0.000492606,0.000492606
80,4179.86,0.93634,1.18356,1.05427,0.91311,0.81858,0.84834,0.47382,1.04973,1.30067,1.06802,0.000492417,0.000492417,0.000492417
81,4231.72,0.95469,1.21621,1.06338,0.88698,0.87233,0.89986,0.51005,1.01881,1.33815,1.05475,0.000492224,0.000492224,0.000492224
82,4284.05,0.92361,1.16602,1.04359,0.86271,0.91063,0.89018,0.4942,1.01868,1.30148,1.05651,0.00049203,0.00049203,0.00049203
83,4336.29,0.95391,1.17946,1.06659,0.87672,0.7845,0.80425,0.43247,1.06112,1.3679,1.0718,0.000491833,0.000491833,0.000491833
84,4388.49,0.94385,1.1728,1.07085,0.91841,0.90362,0.93155,0.53378,1.00893,1.27182,1.04867,0.000491634,0.000491634,0.000491634
85,4440.82,0.9269,1.1667,1.06443,0.93305,0.92606,0.94988,0.55291,0.98637,1.23537,1.04432,0.000491432,0.000491432,0.000491432
86,4493.62,0.93618,1.14617,1.05614,0.94871,0.84447,0.89562,0.5133,0.99319,1.27379,1.04421,0.000491228,0.000491228,0.000491228
87,4546.23,0.91436,1.10836,1.04059,0.9335,0.88976,0.91655,0.52455,0.99941,1.21818,1.04712,0.000491022,0.000491022,0.000491022
88,4598.81,0.93707,1.15325,1.04049,0.9201,0.92746,0.94573,0.52781,1.01763,1.23213,1.05401,0.000490813,0.000490813,0.000490813
89,4651.22,0.92368,1.11944,1.04745,0.91606,0.84222,0.86295,0.4935,0.99027,1.27931,1.03959,0.000490602,0.000490602,0.000490602
90,4703.72,0.94231,1.13299,1.05773,0.92814,0.81414,0.84771,0.4767,1.02207,1.3006,1.05279,0.000490388,0.000490388,0.000490388
91,4756.26,0.92208,1.12124,1.04326,0.93497,0.83706,0.86967,0.48441,0.99395,1.29402,1.04391,0.000490173,0.000490173,0.000490173
92,4808.79,0.9069,1.10055,1.02781,0.94121,0.7794,0.81827,0.46794,0.99793,1.27915,1.04338,0.000489955,0.000489955,0.000489955
93,4861.26,0.92112,1.11185,1.03322,0.932,0.87261,0.90493,0.51609,0.99915,1.24998,1.04347,0.000489734,0.000489734,0.000489734
94,4913.75,0.91789,1.1141,1.04898,0.93737,0.8743,0.90433,0.52599,0.9825,1.23409,1.03954,0.000489511,0.000489511,0.000489511
95,4966.28,0.93121,1.1145,1.03723,0.92368,0.8077,0.83756,0.4774,0.99942,1.26999,1.04557,0.000489286,0.000489286,0.000489286
96,5018.73,0.92301,1.12154,1.04064,0.88995,0.79821,0.82528,0.45382,1.0037,1.32283,1.04419,0.000489059,0.000489059,0.000489059
97,5072.06,0.93375,1.13048,1.03177,0.91435,0.75606,0.78091,0.43685,1.01112,1.31491,1.04719,0.000488829,0.000488829,0.000488829
98,5124.6,0.92942,1.1176,1.03998,0.90951,0.81166,0.85205,0.48995,0.99929,1.26301,1.0421,0.000488597,0.000488597,0.000488597
99,5177.14,0.92334,1.11152,1.03186,0.90426,0.93018,0.94375,0.54519,1.00129,1.22312,1.04396,0.000488362,0.000488362,0.000488362
100,5229.55,0.91983,1.10886,1.02839,0.92276,0.84702,0.90128,0.51085,1.01477,1.25711,1.05512,0.000488126,0.000488126,0.000488126
101,5282.04,0.90617,1.09848,1.0364,0.90428,0.7803,0.81438,0.46805,0.98813,1.29105,1.03615,0.000487886,0.000487886,0.000487886
102,5335.05,0.90159,1.08559,1.03242,0.93416,0.88321,0.91981,0.5203,1.01074,1.26189,1.04793,0.000487645,0.000487645,0.000487645
103,5387.6,0.92143,1.10691,1.03128,0.9412,0.89362,0.9228,0.52506,0.98216,1.19587,1.03476,0.000487401,0.000487401,0.000487401
104,5440.13,0.9033,1.08792,1.0349,0.91954,0.84032,0.85908,0.48691,1.00184,1.22989,1.04212,0.000487155,0.000487155,0.000487155
105,5492.85,0.90094,1.06765,1.02677,0.94153,0.80127,0.84024,0.48434,0.99163,1.24364,1.04088,0.000486907,0.000486907,0.000486907
106,5545.3,0.9085,1.08062,1.02915,0.92204,0.92164,0.93653,0.52942,0.99687,1.20839,1.04402,0.000486656,0.000486656,0.000486656
107,5597.87,0.91191,1.0908,1.03504,0.92403,0.90543,0.91897,0.52085,1.01893,1.23463,1.04637,0.000486403,0.000486403,0.000486403
