epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1107.7,1.57694,0.66962,0.98959,0.77119,0.81372,0.84208,0.45131,1.61921,0.7562,0.96255,0.000995697,0.000995697,0.000995697
44,1131.99,1.58557,0.69589,0.99014,0.83892,0.59792,0.63231,0.31972,1.6614,0.81909,0.97908,0.00099549,0.00099549,0.00099549
45,1162.88,1.60106,0.66873,0.98283,0.78468,0.71226,0.75562,0.39799,1.63412,0.77072,0.96451,0.000995278,0.000995278,0.000995278
46,1187.39,1.573,0.66666,0.98337,0.79802,0.73143,0.73294,0.37299,1.68789,0.76694,0.98231,0.000995062,0.000995062,0.000995062
47,1211.68,1.58657,0.68171,0.98851,0.6678,0.69046,0.67064,0.34863,1.59227,0.72144,0.95317,0.00099484,0.00099484,0.00099484
48,1236.56,1.55032,0.65602,0.97976,0.80878,0.75216,0.76628,0.40539,1.63374,0.73472,0.97427,0.000994614,0.000994614,0.000994614
49,1261.08,1.55184,0.64842,0.97451,0.73759,0.8252,0.85169,0.4657,1.62544,0.76404,0.96348,0.000994383,0.000994383,0.000994383
50,1285.91,1.5618,0.72384,0.97016,0.86461,0.65993,0.69026,0.36743,1.55934,0.7304,0.94393,0.000994147,0.000994147,0.000994147
51,1310.4,1.53233,0.64218,0.98033,0.80499,0.68372,0.69454,0.36678,1.59169,0.72269,0.95171,0.000993906,0.000993906,0.000993906
52,1335.12,1.56848,0.66048,0.98952,0.83886,0.68792,0.70308,0.36823,1.62019,0.70828,0.96601,0.00099366,0.00099366,0.00099366
53,1359.42,1.5477,0.64915,0.96807,0.89772,0.72886,0.7594,0.4189,1.60535,0.73107,0.97278,0.00099341,0.00099341,0.00099341
54,1383.9,1.57774,0.6462,0.97151,0.88753,0.77652,0.78116,0.41922,1.5849,0.69054,0.94742,0.000993154,0.000993154,0.000993154
55,1408.42,1.56094,0.65188,0.97646,0.85838,0.73599,0.74584,0.40374,1.55551,0.67564,0.943,0.000992894,0.000992894,0.000992894
56,1432.95,1.53332,0.6325,0.96822,0.8007,0.79384,0.79581,0.41944,1.67378,0.74475,0.97123,0.000992629,0.000992629,0.000992629
57,1457.48,1.50917,0.62802,0.96436,0.87339,0.69124,0.7166,0.38366,1.58614,0.69361,0.94828,0.000992359,0.000992359,0.000992359
58,1482,1.53896,0.63433,0.96419,0.88907,0.74756,0.7744,0.41006,1.59766,0.69055,0.95011,0.000992085,0.000992085,0.000992085
59,1506.24,1.508,0.62697,0.95639,0.6765,0.82529,0.82613,0.44948,1.58077,0.76134,0.94701,0.000991805,0.000991805,0.000991805
60,1530.7,1.47431,0.63023,0.9715,0.89197,0.8999,0.9079,0.48538,1.65172,0.68636,0.95898,0.000991521,0.000991521,0.000991521
61,1555.43,1.49028,0.61219,0.95513,0.87769,0.79685,0.82311,0.44329,1.61978,0.68554,0.95355,0.000991232,0.000991232,0.000991232
62,1579.79,1.47155,0.61023,0.96742,0.81602,0.69216,0.69413,0.36291,1.59823,0.70486,0.94627,0.000990938,0.000990938,0.000990938
63,1604.06,1.50742,0.61297,0.95708,0.89866,0.85375,0.88913,0.46121,1.64677,0.68282,0.95597,0.00099064,0.00099064,0.00099064
64,1628.5,1.53255,0.62547,0.95716,0.76229,0.86937,0.86099,0.4629,1.61984,0.72445,0.95038,0.000990336,0.000990336,0.000990336
65,1653.01,1.49035,0.60718,0.95175,0.84644,0.69179,0.71201,0.36987,1.5951,0.69454,0.94482,0.000990028,0.000990028,0.000990028
66,1677.42,1.49544,0.61526,0.95346,0.85668,0.66597,0.68272,0.35806,1.61104,0.68976,0.95626,0.000989715,0.000989715,0.000989715
67,1701.84,1.48798,0.6106,0.95624,0.85849,0.70112,0.7208,0.38873,1.55416,0.66525,0.94071,0.000989398,0.000989398,0.000989398
68,1726.25,1.49479,0.59262,0.95102,0.90772,0.85206,0.87897,0.47156,1.59643,0.65852,0.94233,0.000989075,0.000989075,0.000989075
69,1750.69,1.48803,0.60351,0.95374,0.89886,0.86173,0.894,0.49168,1.59944,0.67897,0.94615,0.000988748,0.000988748,0.000988748
70,1775.55,1.46654,0.59462,0.95005,0.90157,0.86703,0.88108,0.48013,1.61446,0.66632,0.95124,0.000988416,0.000988416,0.000988416
71,1802.01,1.43876,0.58225,0.94545,0.86769,0.79175,0.80079,0.42338,1.62663,0.6705,0.94988,0.000988079,0.000988079,0.000988079
72,1826.56,1.47216,0.58946,0.95474,0.8865,0.86825,0.90599,0.49099,1.65381,0.69857,0.95915,0.000987737,0.000987737,0.000987737
73,1850.82,1.51549,0.59337,0.95757,0.90558,0.84296,0.8607,0.46302,1.57982,0.6558,0.93886,0.000987391,0.000987391,0.000987391
74,1875.34,1.50739,0.59089,0.95836,0.83286,0.85386,0.86306,0.43699,1.72596,0.75987,0.97033,0.00098704,0.00098704,0.00098704
75,1907.17,1.48978,0.60782,0.9576,0.87216,0.75147,0.78661,0.41885,1.54828,0.69135,0.9387,0.000986684,0.000986684,0.000986684
76,1931.53,1.44639,0.58484,0.9506,0.88258,0.80133,0.8107,0.43782,1.57732,0.65367,0.93646,0.000986323,0.000986323,0.000986323
77,1955.82,1.45291,0.57906,0.95219,0.8881,0.87265,0.88118,0.47481,1.54442,0.63922,0.93473,0.000985958,0.000985958,0.000985958
78,1980.26,1.50297,0.62875,0.98345,0.88549,0.86488,0.89283,0.49294,1.54922,0.66544,0.93679,0.000985588,0.000985588,0.000985588
79,2004.92,1.45936,0.5844,0.95844,0.90102,0.89329,0.90571,0.49993,1.59289,0.6487,0.94837,0.000985213,0.000985213,0.000985213
80,2029.68,1.45079,0.5853,0.94945,0.85662,0.86599,0.90258,0.49245,1.57444,0.67176,0.93868,0.000984833,0.000984833,0.000984833
81,2054.04,1.44031,0.59224,0.94028,0.90464,0.67064,0.70975,0.3678,1.65541,0.70814,0.95617,0.000984449,0.000984449,0.000984449
82,2078.49,1.43484,0.58062,0.94721,0.91338,0.78158,0.79966,0.42424,1.58831,0.64534,0.94013,0.00098406,0.00098406,0.00098406
83,2102.81,1.4432,0.57117,0.93812,0.90997,0.87248,0.88077,0.47808,1.55235,0.64668,0.93674,0.000983666,0.000983666,0.000983666
84,2127.32,1.42632,0.55792,0.94454,0.90104,0.87527,0.91889,0.49514,1.56913,0.6526,0.94012,0.000983267,0.000983267,0.000983267
85,2151.89,1.46064,0.57123,0.96234,0.83455,0.86563,0.89262,0.48898,1.63628,0.67271,0.95629,0.000982864,0.000982864,0.000982864
86,2176.45,1.43848,0.56731,0.94582,0.86943,0.81533,0.81141,0.45012,1.56093,0.64156,0.93491,0.000982456,0.000982456,0.000982456
87,2200.78,1.43892,0.57039,0.94634,0.85431,0.9031,0.90984,0.5071,1.5697,0.63639,0.93793,0.000982043,0.000982043,0.000982043
88,2226.92,1.4359,0.56415,0.93979,0.83745,0.89215,0.8674,0.46751,1.60693,0.69776,0.94752,0.000981626,0.000981626,0.000981626
89,2251.22,1.43806,0.59384,0.92985,0.85602,0.65828,0.65909,0.34854,1.57639,0.77363,0.94078,0.000981204,0.000981204,0.000981204
90,2278.63,1.44763,0.59956,0.94869,0.85273,0.85449,0.8374,0.45054,1.5635,0.72637,0.93697,0.000980777,0.000980777,0.000980777
91,2302.96,1.40871,0.56765,0.94886,0.84472,0.74135,0.73797,0.40194,1.52566,0.65744,0.9297,0.000980345,0.000980345,0.000980345
92,2327.46,1.38934,0.55869,0.9457,0.88691,0.79146,0.81807,0.44727,1.55592,0.64572,0.93796,0.000979909,0.000979909,0.000979909
93,2352,1.40526,0.55587,0.93096,0.86216,0.78169,0.80577,0.4329,1.62067,0.6827,0.94363,0.000979468,0.000979468,0.000979468
94,2376.37,1.39869,0.56211,0.9092,0.86692,0.7171,0.72246,0.37969,1.59374,0.67014,0.94169,0.000979023,0.000979023,0.000979023
95,2400.82,1.4184,0.56702,0.92628,0.88774,0.86725,0.89965,0.49927,1.54469,0.64369,0.9349,0.000978572,0.000978572,0.000978572
96,2425.31,1.37881,0.54203,0.93442,0.89944,0.87304,0.9044,0.49229,1.5603,0.65031,0.93906,0.000978118,0.000978118,0.000978118
97,2449.76,1.39968,0.55065,0.92962,0.90313,0.87265,0.88609,0.4781,1.53132,0.62408,0.93101,0.000977658,0.000977658,0.000977658
98,2474.18,1.41834,0.56238,0.94018,0.88649,0.85299,0.84908,0.47257,1.52501,0.64615,0.93043,0.000977194,0.000977194,0.000977194
99,2498.47,1.41142,0.56202,0.94277,0.86044,0.87037,0.86531,0.47539,1.54029,0.65686,0.9323,0.000976725,0.000976725,0.000976725
100,2522.9,1.42099,0.56769,0.94576,0.86746,0.78212,0.79142,0.43504,1.55407,0.66355,0.93608,0.000976251,0.000976251,0.000976251
101,2547.35,1.45996,0.56692,0.94095,0.8651,0.87644,0.89553,0.49797,1.55405,0.64883,0.94062,0.000975773,0.000975773,0.000975773
102,2572.09,1.40779,0.55053,0.93459,0.86102,0.75757,0.75857,0.40868,1.54365,0.64189,0.93073,0.00097529,0.00097529,0.00097529
103,2596.54,1.40577,0.55177,0.92957,0.88331,0.89509,0.89246,0.50822,1.49989,0.62817,0.92443,0.000974803,0.000974803,0.000974803
104,2621.36,1.37739,0.54253,0.934,0.89738,0.84927,0.86174,0.4763,1.54692,0.64163,0.93824,0.00097431,0.00097431,0.00097431
105,2645.47,1.36272,0.53442,0.92231,0.89464,0.89583,0.88671,0.48259,1.57066,0.63677,0.93565,0.000973814,0.000973814,0.000973814
106,2669.86,1.38172,0.5434,0.93017,0.90015,0.82828,0.83395,0.45771,1.49155,0.61732,0.92339,0.000973312,0.000973312,0.000973312
107,2694.87,1.37131,0.54089,0.93235,0.92067,0.85197,0.86494,0.48116,1.52411,0.6168,0.92658,0.000972806,0.000972806,0.000972806
108,2719.37,1.40577,0.54254,0.93472,0.91009,0.81496,0.83312,0.46589,1.49268,0.61363,0.92516,0.000972296,0.000972296,0.000972296
109,2743.77,1.39501,0.53903,0.93844,0.89019,0.8374,0.84555,0.46585,1.54651,0.62693,0.93394,0.00097178,0.00097178,0.00097178
110,2768.18,1.36281,0.53298,0.92632,0.91258,0.8585,0.86808,0.47606,1.5488,0.6211,0.93422,0.00097126,0.00097126,0.00097126
111,2792.55,1.3864,0.54058,0.92703,0.90492,0.78844,0.8012,0.4332,1.5472,0.65622,0.93538,0.000970736,0.000970736,0.000970736
112,2830.47,1.3984,0.54357,0.9321,0.89527,0.92257,0.92318,0.48936,1.61989,0.65726,0.94524,0.000970207,0.000970207,0.000970207
113,2854.94,1.38445,0.54439,0.9258,0.91328,0.91265,0.91597,0.50171,1.58406,0.63435,0.93998,0.000969673,0.000969673,0.000969673
114,2879.4,1.37844,0.53931,0.92593,0.89086,0.76282,0.7717,0.42222,1.54611,0.64698,0.9322,0.000969135,0.000969135,0.000969135
115,2903.79,1.38644,0.53207,0.92122,0.90688,0.76716,0.77973,0.42263,1.57357,0.64468,0.93668,0.000968592,0.000968592,0.000968592
116,2929.02,1.34796,0.52133,0.92184,0.9128,0.84705,0.85114,0.46576,1.53741,0.615,0.92761,0.000968045,0.000968045,0.000968045
