epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.751,5.2876,34.9703,3.32365,0,0,0,0,3.30801,31.6406,1.9276,0.00013,0.00013,0.08713
2,31.358,6.15591,23.7441,3.75383,0,0,0,0,5.31601,30.7216,2.83754,0.000269999,0.000269999,0.07327
3,41.0831,6.09469,5.48371,3.09711,0,0,0,0,7.09015,4.71081,3.32264,0.000409996,0.000409996,0.05941
4,50.8427,4.62205,2.9324,2.29839,0,0,0,0,7.05958,4.51249,3.1179,0.000549988,0.000549988,0.04555
5,60.5808,3.95997,3.60416,1.74559,0,0,0,0,7.03697,4.50606,3.01998,0.000689973,0.000689973,0.03169
6,70.2115,3.8592,2.01703,1.67437,0,0,0,0,6.91248,4.5658,2.73784,0.000829949,0.000829949,0.0178299
7,79.8376,3.95322,1.98746,1.61969,0,0,0,0,5.27395,4.23837,2.09479,0.000969915,0.000969915,0.00396991
8,89.5408,4.00467,1.79362,1.50823,0.06153,0.25184,0.02564,0.00492,3.7167,inf,3.59992,0.00099988,0.00099988,0.00099988
9,99.3036,3.77075,1.90022,1.58178,0.04156,0.21837,0.01127,0.00233,nan,nan,nan,0.000999844,0.000999844,0.000999844
10,108.783,3.65066,1.70213,1.4095,0.04937,0.03562,0.00606,0.00134,nan,nan,nan,0.000999802,0.000999802,0.000999802
11,118.075,3.61569,1.62868,1.43535,0.09175,0.031,0.01154,0.00215,nan,nan,nan,0.000999756,0.000999756,0.000999756
12,127.548,3.50182,1.58371,1.40341,0.07595,0.17496,0.02021,0.00401,nan,nan,nan,0.000999704,0.000999704,0.000999704
13,136.937,3.47909,1.57392,1.36726,0.09077,0.24354,0.04188,0.00772,3.50138,45.8277,1.75459,0.000999648,0.000999648,0.000999648
14,146.723,3.21524,1.57497,1.32988,0.43284,0.28815,0.05324,0.01249,3.22307,inf,1.56048,0.000999587,0.000999587,0.000999587
15,156.444,3.17106,1.75558,1.32721,0.44077,0.30414,0.06307,0.01511,3.15281,48.6325,1.45732,0.000999521,0.000999521,0.000999521
16,166.268,3.09554,1.48028,1.33754,0.13645,0.23801,0.05961,0.0147,3.44652,37.3202,1.32063,0.00099945,0.00099945,0.00099945
17,175.66,3.14757,1.5067,1.26089,0.1772,0.42996,0.17095,0.04777,2.68046,6.60024,1.144,0.000999375,0.000999375,0.000999375
18,185.408,2.93076,1.39842,1.33912,0.57589,0.29737,0.19419,0.06158,2.77139,1.47138,1.17072,0.000999294,0.000999294,0.000999294
19,195.052,2.75148,1.30491,1.18241,0.59664,0.34533,0.229,0.08074,2.4691,1.38436,1.12228,0.000999209,0.000999209,0.000999209
20,204.788,2.5985,1.38904,1.18558,0.47554,0.16313,0.09702,0.02262,3.40949,1.44765,1.30493,0.000999118,0.000999118,0.000999118
21,214.175,2.7147,1.27262,1.17202,0.33095,0.35661,0.32514,0.11024,2.57913,1.19579,1.13311,0.000999023,0.000999023,0.000999023
22,223.963,2.67945,1.24993,1.16854,0.35418,0.38443,0.35501,0.12777,2.355,1.14051,1.07162,0.000998923,0.000998923,0.000998923
23,233.571,2.58874,1.23691,1.12935,0.66215,0.38049,0.33385,0.10558,2.55315,1.20305,1.10336,0.000998818,0.000998818,0.000998818
24,242.754,2.64754,1.18842,1.16548,0.72236,0.25925,0.30412,0.07976,2.79338,1.36134,1.15677,0.000998708,0.000998708,0.000998708
25,251.976,2.513,1.15408,1.15543,0.66208,0.42465,0.39706,0.16584,2.14845,1.15605,1.03517,0.000998594,0.000998594,0.000998594
26,261.699,2.5547,1.2014,1.15677,0.76007,0.37911,0.39904,0.16591,2.16353,1.14046,1.03992,0.000998474,0.000998474,0.000998474
27,271.355,2.40884,1.14187,1.1238,0.73045,0.44907,0.42333,0.17922,2.05611,1.06663,1.03142,0.00099835,0.00099835,0.00099835
28,281.123,2.45407,1.27074,1.18742,0.77185,0.43778,0.46632,0.19297,2.18959,1.05081,1.03173,0.00099822,0.00099822,0.00099822
29,290.743,2.51167,1.17521,1.14553,0.75215,0.43225,0.44332,0.19226,2.01502,1.01264,1.00742,0.000998086,0.000998086,0.000998086
30,299.989,2.34069,1.12863,1.11352,0.71362,0.39228,0.37455,0.11882,2.39505,1.24467,1.06832,0.000997947,0.000997947,0.000997947
31,309.231,2.34824,1.11856,1.09677,0.69967,0.33354,0.30473,0.09995,2.45804,1.32402,1.08714,0.000997803,0.000997803,0.000997803
32,318.56,2.28767,1.10768,1.09199,0.71464,0.47963,0.44383,0.17796,2.1258,1.14562,1.02582,0.000997654,0.000997654,0.000997654
33,327.864,2.54979,1.13872,1.11023,0.74289,0.45347,0.46554,0.2222,1.87087,0.99244,0.97966,0.000997501,0.000997501,0.000997501
34,337.557,2.31949,1.04409,1.06875,0.67471,0.51292,0.51299,0.20843,2.02789,0.97212,1.00273,0.000997342,0.000997342,0.000997342
35,346.837,2.39979,1.13477,1.1838,0.54463,0.57714,0.52085,0.22159,1.92903,0.95424,0.98671,0.000997179,0.000997179,0.000997179
36,356.233,2.31726,1.05696,1.05629,0.63406,0.53638,0.52919,0.20902,2.03158,0.95551,0.99426,0.000997011,0.000997011,0.000997011
37,365.523,2.34667,1.0568,1.10043,0.5604,0.56688,0.53764,0.22963,1.91997,0.92055,0.98158,0.000996838,0.000996838,0.000996838
38,375.126,2.30122,1.01219,1.06245,0.75362,0.44473,0.45641,0.20499,1.94368,0.97969,0.9956,0.00099666,0.00099666,0.00099666
39,384.28,2.08467,1.03793,1.06424,0.7811,0.45178,0.4878,0.23558,1.83255,0.92166,0.98461,0.000996477,0.000996477,0.000996477
40,394.05,2.04952,1.00366,1.05459,0.83367,0.44827,0.51528,0.24249,1.88104,0.95369,0.98148,0.000996289,0.000996289,0.000996289
41,403.771,2.17526,1.06348,1.08613,0.78594,0.46944,0.47816,0.22256,1.83053,0.95983,0.97999,0.000996097,0.000996097,0.000996097
42,413.145,2.1659,0.99982,1.08022,0.79386,0.45233,0.46883,0.18154,2.12032,0.97582,1.02017,0.000995899,0.000995899,0.000995899
43,422.551,2.40045,1.07501,1.09903,0.78599,0.42982,0.44735,0.17706,2.16801,0.95859,1.02928,0.000995697,0.000995697,0.000995697
44,432.129,2.12218,1.02698,1.04111,0.81538,0.47074,0.5049,0.248,1.85519,0.87625,0.98394,0.00099549,0.00099549,0.00099549
45,441.955,2.19087,1.02836,1.05656,0.48882,0.4825,0.5203,0.23782,1.91587,0.84933,0.98496,0.000995278,0.000995278,0.000995278
46,451.22,2.12107,1.01169,1.06608,0.82892,0.44072,0.50385,0.24259,1.82095,0.89448,0.96856,0.000995062,0.000995062,0.000995062
47,460.514,2.23532,1.08824,1.04496,0.78339,0.44195,0.48292,0.21651,1.92069,0.91891,0.98618,0.00099484,0.00099484,0.00099484
